연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 과천시 문원동 ,7692,537,837,1018,935,1224,1340,935,570,239,46,11,3755,281,454,540,497,582,665,405,244,77,7,3,3937,256,383,478,438,642,675,530,326,162,39,8
2021,04,읍면동,경기도 과천시 별양동 ,10866,713,1123,1679,1308,1441,2076,1389,621,421,89,6,5185,370,574,851,644,655,981,664,269,149,25,3,5681,343,549,828,664,786,1095,725,352,272,64,3
2021,04,읍면동,경기도 과천시 부림동 ,15032,1494,1403,2010,2408,2182,2622,1684,739,399,88,3,7382,786,732,1052,1192,1045,1242,833,333,147,19,1,7650,708,671,958,1216,1137,1380,851,406,252,69,2
2021,04,읍면동,경기도 과천시 중앙동 ,10999,807,993,1577,1433,1450,2057,1552,661,378,78,13,5339,419,498,840,697,669,964,787,309,138,16,2,5660,388,495,737,736,781,1093,765,352,240,62,11
2021,04,시군,경기도 광명시 ,295690,22515,30115,37730,40448,50775,49310,38332,17764,7543,1105,53,145859,11528,15478,19723,20504,25055,24568,18224,7995,2529,244,11,149831,10987,14637,18007,19944,25720,24742,20108,9769,5014,861,42
2021,04,읍면동,경기도 광명시 광명1동,340,0,11,37,48,44,101,72,19,4,4,0,184,0,7,18,27,27,57,36,9,2,1,0,156,0,4,19,21,17,44,36,10,2,3,0
2021,04,읍면동,경기도 광명시 광명2동,3319,114,191,395,386,467,606,626,378,140,14,2,1672,70,93,219,220,249,311,286,168,47,9,0,1647,44,98,176,166,218,295,340,210,93,5,2
2021,04,읍면동,경기도 광명시 광명3동,9824,349,605,1298,1153,1368,1880,1780,973,372,43,3,4756,172,316,686,635,707,894,780,425,131,8,2,5068,177,289,612,518,661,986,1000,548,241,35,1
2021,04,읍면동,경기도 광명시 광명4동,13977,677,932,1865,1825,1969,2447,2475,1267,446,61,13,6840,334,462,970,986,993,1205,1164,557,153,13,3,7137,343,470,895,839,976,1242,1311,710,293,48,10
2021,04,읍면동,경기도 광명시 광명5동,14575,851,1274,1836,1798,2330,2474,2315,1158,479,60,0,7203,449,652,1016,947,1177,1191,1071,520,166,14,0,7372,402,622,820,851,1153,1283,1244,638,313,46,0
2021,04,읍면동,경기도 광명시 광명6동,10669,800,1156,1286,1243,1819,1787,1513,754,280,29,2,5264,375,604,669,630,888,894,733,364,101,6,0,5405,425,552,617,613,931,893,780,390,179,23,2
